;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 28/06/2020 05:25:25
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0x4FFC2000  	536891388
0x0004	0x10910000  	4241
0x0008	0x132D0000  	4909
0x000C	0x132D0000  	4909
0x0010	0x132D0000  	4909
0x0014	0x132D0000  	4909
0x0018	0x132D0000  	4909
0x001C	0x132D0000  	4909
0x0020	0x132D0000  	4909
0x0024	0x132D0000  	4909
0x0028	0x132D0000  	4909
0x002C	0x132D0000  	4909
0x0030	0x132D0000  	4909
0x0034	0x132D0000  	4909
0x0038	0x132D0000  	4909
0x003C	0x132D0000  	4909
0x0040	0x132D0000  	4909
0x0044	0x132D0000  	4909
0x0048	0x132D0000  	4909
0x004C	0x132D0000  	4909
0x0050	0x132D0000  	4909
0x0054	0x132D0000  	4909
0x0058	0x0FD90000  	4057
0x005C	0x127D0000  	4733
0x0060	0x0E950000  	3733
0x0064	0x132D0000  	4909
0x0068	0x132D0000  	4909
0x006C	0x132D0000  	4909
0x0070	0x132D0000  	4909
0x0074	0x132D0000  	4909
0x0078	0x132D0000  	4909
0x007C	0x132D0000  	4909
0x0080	0x132D0000  	4909
0x0084	0x132D0000  	4909
0x0088	0x132D0000  	4909
0x008C	0x132D0000  	4909
0x0090	0x132D0000  	4909
0x0094	0x132D0000  	4909
0x0098	0x132D0000  	4909
0x009C	0x132D0000  	4909
0x00A0	0x132D0000  	4909
0x00A4	0x132D0000  	4909
0x00A8	0x132D0000  	4909
0x00AC	0x132D0000  	4909
0x00B0	0x0F450000  	3909
0x00B4	0x132D0000  	4909
0x00B8	0x132D0000  	4909
0x00BC	0x132D0000  	4909
0x00C0	0x132D0000  	4909
0x00C4	0x132D0000  	4909
0x00C8	0x132D0000  	4909
0x00CC	0x132D0000  	4909
0x00D0	0x132D0000  	4909
0x00D4	0x132D0000  	4909
0x00D8	0x132D0000  	4909
0x00DC	0x132D0000  	4909
0x00E0	0x132D0000  	4909
0x00E4	0x132D0000  	4909
0x00E8	0x132D0000  	4909
0x00EC	0x132D0000  	4909
0x00F0	0x132D0000  	4909
0x00F4	0x132D0000  	4909
0x00F8	0x132D0000  	4909
0x00FC	0x132D0000  	4909
0x0100	0x132D0000  	4909
0x0104	0x132D0000  	4909
0x0108	0x132D0000  	4909
0x010C	0x132D0000  	4909
0x0110	0x132D0000  	4909
0x0114	0x132D0000  	4909
0x0118	0x132D0000  	4909
0x011C	0x132D0000  	4909
0x0120	0x132D0000  	4909
0x0124	0x132D0000  	4909
0x0128	0x132D0000  	4909
0x012C	0x132D0000  	4909
; end of ____SysVT
_main:
;ESC_Brushed.c, 46 :: 		void main() {
0x1090	0xB081    SUB	SP, SP, #4
0x1092	0xF000F871  BL	4472
